  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   310     1   0  6Oct23 ??        91:38.72 /usr/libexec/searchpartyd
    0   312     1   0  6Oct23 ??         4:26.73 /usr/libexec/wifianalyticsd
  278   315     1   0  6Oct23 ??         0:44.10 /usr/sbin/distnoted agent
    0   329    91   0  6Oct23 ??         2:50.06 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
   55   342     1   0  6Oct23 ??         0:04.61 /System/Library/CoreServices/appleeventsd --server
    0   355     1   0  6Oct23 ??       172:26.34 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   404     1   0  6Oct23 ??        25:44.64 /usr/libexec/gamepolicyd
   89   411     1   0  6Oct23 ??         0:44.80 /usr/sbin/distnoted agent
  242   416     1   0  6Oct23 ??         0:45.40 /usr/sbin/distnoted agent
    0   419     1   0  6Oct23 ??         0:02.29 /System/Library/CoreServices/SubmitDiagInfo server-init
  441   434     1   0  6Oct23 ??         0:07.62 /usr/libexec/rosetta/oahd
    0   452     1   0  6Oct23 ??         0:26.22 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   453     1   0  6Oct23 ??         0:00.10 /usr/libexec/securityd_service
  501   454     1   0  6Oct23 ??        26:01.98 /usr/sbin/distnoted agent
  501   466     1   0  6Oct23 ??        31:07.85 /usr/libexec/secd
  501   470     1   0  6Oct23 ??         7:30.89 /usr/libexec/UserEventAgent (Aqua)
  501   476     1   0  6Oct23 ??         3:05.29 /usr/libexec/lsd
  501   483     1   0  6Oct23 ??        34:29.71 /usr/libexec/nsurlsessiond
  501   484     1   0  6Oct23 ??        12:03.94 /usr/libexec/rapportd
  501   487     1   0  6Oct23 ??         1:52.73 /usr/sbin/usernoted
  501   491     1   0  6Oct23 ??         9:01.57 /System/Library/CoreServices/lockoutagent
  501   492     1   0  6Oct23 ??        34:47.86 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   496     1   0  6Oct23 ??        10:27.97 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   497     1   0  6Oct23 ??         6:44.25 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   509     1   0  6Oct23 ??        17:12.57 /usr/libexec/searchpartyuseragent
    0   516     1   0  6Oct23 ??         0:01.79 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  501   519     1   0  6Oct23 ??         1:17.57 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501   526     1   0  6Oct23 ??         1:57.44 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   529     1   0  6Oct23 ??        10:34.58 /usr/libexec/ContinuityCaptureAgent server
  501   532     1   0  6Oct23 ??         0:07.29 /System/Library/CoreServices/sharedfilelistd
  247   541     1   0  6Oct23 ??         0:47.20 /usr/sbin/distnoted agent
  260   543     1   0  6Oct23 ??         0:43.67 /usr/sbin/distnoted agent
